hr,seconds,timestamp,process
71,525013,2022-03-29 09:17:49.068299,0
78,648228,2022-03-29 09:17:49.191516,0
71,728798,2022-03-29 09:17:49.272087,0
88,804595,2022-03-29 09:17:49.347884,0
107,332180,2022-03-29 09:17:49.875467,0
100,819812,2022-03-29 09:17:53.363099,0
107,834151,2022-03-29 09:17:53.377437,0
100,871551,2022-03-29 09:17:53.414840,0
115,945878,2022-03-29 09:17:57.363428,0
107,973792,2022-03-29 09:17:57.391342,0
88,11475,2022-03-29 09:17:57.429024,0
83,227821,2022-03-29 09:17:57.645378,0
88,358466,2022-03-29 09:17:57.776019,0
107,394619,2022-03-29 09:17:57.812171,0
93,488817,2022-03-29 09:17:57.906373,0
107,935105,2022-03-29 09:18:04.843741,0
93,967517,2022-03-29 09:18:04.876149,0
88,535324,2022-03-29 09:18:05.443959,0
93,611043,2022-03-29 09:18:05.519676,0
88,904498,2022-03-29 09:18:06.813133,0
93,936357,2022-03-29 09:18:06.844994,0
88,77642,2022-03-29 09:18:10.924909,0
83,107663,2022-03-29 09:18:10.954925,0
88,234437,2022-03-29 09:18:11.081699,0
100,373108,2022-03-29 09:18:11.220372,0
88,501778,2022-03-29 09:18:11.349045,0
93,460977,2022-03-29 09:18:12.308244,0
115,715915,2022-03-29 09:18:17.027667,0
100,739835,2022-03-29 09:18:17.051583,0
93,151318,2022-03-29 09:18:17.463077,0
100,268236,2022-03-29 09:18:17.579990,0
115,303310,2022-03-29 09:18:17.615060,0
107,341344,2022-03-29 09:18:17.653093,0
93,488029,2022-03-29 09:18:22.143053,0
88,79136,2022-03-29 09:18:22.734159,0
93,159017,2022-03-29 09:18:22.814037,0
100,581940,2022-03-29 09:18:23.236959,0
93,724834,2022-03-29 09:18:23.379850,0
100,744012,2022-03-29 09:18:23.399026,0
88,585540,2022-03-29 09:18:27.986721,0
93,735709,2022-03-29 09:18:28.136885,0
107,767472,2022-03-29 09:18:28.168641,0
93,848252,2022-03-29 09:18:28.249425,0
88,971677,2022-03-29 09:18:28.372853,0
100,502683,2022-03-29 09:18:28.903856,0
93,355433,2022-03-29 09:18:33.262249,0
107,379782,2022-03-29 09:18:33.286591,0
100,532965,2022-03-29 09:18:33.439774,0
93,558587,2022-03-29 09:18:33.465394,0
88,641091,2022-03-29 09:18:33.547899,0
93,612823,2022-03-29 09:18:34.519631,0
75,350090,2022-03-29 09:18:38.873004,0
88,569434,2022-03-29 09:18:39.092348,0
75,648435,2022-03-29 09:18:39.171345,0
166,896630,2022-03-29 09:18:39.419538,0
136,962745,2022-03-29 09:18:39.485653,0
125,189916,2022-03-29 09:18:39.712828,0
136,229816,2022-03-29 09:18:39.752729,0
150,271204,2022-03-29 09:18:39.794110,0
136,436226,2022-03-29 09:18:39.959142,0
107,654067,2022-03-29 09:18:44.616727,0
115,206567,2022-03-29 09:18:45.169227,0
107,476823,2022-03-29 09:18:45.439478,0
115,192253,2022-03-29 09:18:46.154920,0
107,158005,2022-03-29 09:18:47.120665,0
125,784963,2022-03-29 09:18:48.747618,0
115,56665,2022-03-29 09:18:53.807683,0
107,329428,2022-03-29 09:18:54.080449,0
115,560948,2022-03-29 09:18:54.311969,0
125,581804,2022-03-29 09:18:54.332822,0
115,763567,2022-03-29 09:18:54.514593,0
93,912582,2022-03-29 09:18:54.663599,0
88,988575,2022-03-29 09:18:54.739594,0
93,152396,2022-03-29 09:18:54.903414,0
107,225157,2022-03-29 09:18:54.976176,0
100,262952,2022-03-29 09:18:55.013968,0
107,546252,2022-03-29 09:18:59.563042,0
93,825804,2022-03-29 09:18:59.842594,0
107,944193,2022-03-29 09:18:59.960981,0
115,975303,2022-03-29 09:18:59.992083,0
93,462186,2022-03-29 09:19:00.478976,0
100,515671,2022-03-29 09:19:00.532452,0
107,589127,2022-03-29 09:19:05.123719,0
115,612443,2022-03-29 09:19:05.147030,0
107,752945,2022-03-29 09:19:05.287535,0
115,775439,2022-03-29 09:19:05.310027,0
125,248087,2022-03-29 09:19:05.782684,0
115,402586,2022-03-29 09:19:05.937180,0
107,783394,2022-03-29 09:19:10.723469,0
115,895813,2022-03-29 09:19:10.835889,0
107,924990,2022-03-29 09:19:10.865063,0
125,280611,2022-03-29 09:19:11.220688,0
115,305525,2022-03-29 09:19:11.245597,0
107,426415,2022-03-29 09:19:11.366488,0
93,608738,2022-03-29 09:19:15.977997,0
107,775522,2022-03-29 09:19:16.144783,0
93,838504,2022-03-29 09:19:16.207755,0
107,606444,2022-03-29 09:19:16.975694,0
93,746366,2022-03-29 09:19:17.115615,0
107,906245,2022-03-29 09:19:17.275495,0
100,844386,2022-03-29 09:19:22.122656,0
93,991422,2022-03-29 09:19:22.269690,0
100,826158,2022-03-29 09:19:23.104425,0
93,894376,2022-03-29 09:19:23.172640,0
100,380621,2022-03-29 09:19:23.658892,0
115,716072,2022-03-29 09:19:23.994340,0
107,675680,2022-03-29 09:19:28.672978,0
115,757495,2022-03-29 09:19:28.754795,0
107,871621,2022-03-29 09:19:28.868920,0
100,342437,2022-03-29 09:19:29.339733,0
93,464765,2022-03-29 09:19:29.462064,0
100,487656,2022-03-29 09:19:29.484950,0
88,306286,2022-03-29 09:19:33.794030,0
100,416931,2022-03-29 09:19:33.904667,0
88,583872,2022-03-29 09:19:34.071607,0
100,243732,2022-03-29 09:19:34.731468,0
83,431022,2022-03-29 09:19:34.918766,0
88,623951,2022-03-29 09:19:35.111686,0
