hr,seconds,timestamp,process
90,873194,2022-03-29 09:17:53.416475,0
83,490633,2022-03-29 09:17:57.908179,0
82,938135,2022-03-29 09:18:06.846762,0
81,464089,2022-03-29 09:18:12.311345,0
93,342902,2022-03-29 09:18:17.654645,0
85,745736,2022-03-29 09:18:23.400746,0
87,505075,2022-03-29 09:18:28.906246,0
87,615488,2022-03-29 09:18:34.522292,0
123,439131,2022-03-29 09:18:39.962038,0
102,787750,2022-03-29 09:18:48.750402,0
87,265374,2022-03-29 09:18:55.016385,0
91,517451,2022-03-29 09:19:00.534229,0
104,405081,2022-03-29 09:19:05.939664,0
102,428614,2022-03-29 09:19:11.368683,0
91,908479,2022-03-29 09:19:17.277725,0
90,718404,2022-03-29 09:19:23.996662,0
93,490062,2022-03-29 09:19:29.487350,0
83,626298,2022-03-29 09:19:35.114027,0
